title
Jill Clayburgh
Evelyn Nesbit
Dorothy Lamour
Rene Russo
Freda Payne
Tallulah Bankhead
Janet Leigh
Natacha Rambova
Debra Monk
Maureen O'Hara
Anjelica Huston
Elizabeth Berkley
Jada Pinkett Smith
Farrah Fawcett
Eliza Dushku
Tyra Banks
Pamela Sue Martin
Gloria Foster
Diane Ladd
Sally Field
Anne Meara
Rebecca Romijn
Debra Winger
Theda Bara
Lara Flynn Boyle
Julianne Moore
Joan Blondell
Clara Peller
Sally Kirkland
Gina Gershon
Carol Burnett
Melanie Chartoff
Ricki Lake
Judy Gold
Maggie Lawson
ZaSu Pitts
Rachel True
Rosalind Chao
Robin Tunney
Michelle Trachtenberg
Marcheline Bertrand
Selma Blair
Kelly Rowland
Lauren Bacall
Kim Novak
Ione Skye
Mary Elizabeth Mastrantonio
Lena Horne
Sophie Tucker
Christie Brinkley
Cindy Crawford
Caitlin Wachs
Mary Garden
Joan Rivers
Chloe Webb
Jena Malone
Lupe Vélez
Tammy Faye Messner
Frances McDormand
Kristin Davis
Erika Eleniak
Courtney Thorne-Smith
Kathy Ireland
Amanda Winn-Lee
Kate Jackson
Mira Sorvino
Ali Wentworth
Cass Elliot
Anna Faris
Rita Hayworth
Kelly Preston
Jennifer Beals
Kristanna Loken
Tippi Hedren
Jill St. John
Maya Angelou
Nina Hartley
Mischa Barton
Patti LuPone
Jennifer Jason Leigh
Jane Krakowski
Jean Harlow
Kelly McGillis
Angelyne
"Thelma Furness, Viscountess Furness"
Veronica Hart
Irene Cara
Dita Von Teese
Brett Somers
Jane Kaczmarek
Courteney Cox
Laurie Metcalf
Susan Egan
Jacqueline Susann
Jessie Royce Landis
Trixie Smith
Laurie Holden
Sue Lyon
Fran Drescher
Savannah
Geraldine Farrar
Diane Lane
Michelle Rodriguez
Stacy Keibler
Mary Ellis
Bebe Neuwirth
Helen Slater
Téa Leoni
Linda Eder
Candice Bergen
Barbara Bach
Lisa Lampanelli
Lorna Luft
Carrie Fisher
Tara Strong
Jodi Benson
Reagan Gomez-Preston
Thelma Ritter
Daveigh Chase
Inger Stevens
Mya
Annette O'Toole
Fergie
Lotte Lenya
Anne Heche
Suzy Parker
Margaret Colin
Jennifer O'Neill
Kirstie Alley
Betty Hutton
Rosanna Arquette
Elizabeth Montgomery
Bess Myerson
Elizabeth McGovern
Elizabeth Perkins
Rachael Leigh Cook
Edna Purviance
Meagan Good
Madeleine Stowe
Veronica Lake
Daryl Hannah
Hedy Burress
Apollonia Kotero
Mena Suvari
Anne Archer
Clea DuVall
Bridget Fonda
Jessica Alba
Kathie Lee Gifford
Shannon Whirry
Phyllis Diller
Darlene Love
Joan Chen
Vivian Vance
Debra Messing
Blair Brown
Rue McClanahan
Adrienne Barbeau
Joyce DeWitt
Marlene Warfield
Valerie Harper
Mildred Davis
Bebe Daniels
Patti Page
Jolene Blalock
Olympia Dukakis
Anissa Jones
Paulette Goddard
Cherie Currie
Stephanie Zimbalist
Claire Trevor
Merrin Dungey
Hedda Hopper
